date,real_gdp,agriculture,mining,manufacturing,construction,trade,electricity_gas_water,transport_communications,financial_intermediation,public_administration
2006-10-01,572794.0466305884,31375.576451536945,25351.82894824281,112586.64840963582,19278.05596893128,74658.80555308826,9931.082999291812,39900.35354341274,20035.08270355836,23997.629239887137
2007-01-01,576846.8856994272,35832.61691651189,24421.849403380944,106109.73215014156,20744.616500920594,77311.68620251781,9911.428146789362,40713.37999771587,20836.01665795337,24258.10050894488
2007-04-01,674620.5630064849,100598.73591898482,25328.88501733817,115422.67996051809,20195.176603676467,81609.00967356989,10160.779240407648,44966.41799804854,21179.773226971327,24738.32144017959
2007-07-01,610425.6940148536,31867.383961432944,25129.993014774343,117189.72439833016,21437.35878479816,82877.5629450475,10089.547905429268,43519.23816551845,21467.052482572657,24888.288661207956
2007-10-01,625876.8678635969,32157.92860049276,24844.002011902587,124387.53519739494,21083.055778812028,85215.80882818274,9938.62703328183,44514.8985442445,21936.08642647473,25416.22651078308
2008-01-01,616720.3570644783,35233.10097074534,24610.75633836209,113475.7848611436,22349.239324625967,84125.19954786196,10594.572647815685,44565.070359688885,22346.34436830036,25046.75912992889
2008-04-01,711405.5004552329,98310.7729408629,23479.310908446707,123448.05224132762,22101.18602489383,90604.86042601288,10491.405663365807,47592.18477053264,22672.538851789446,25798.408182982555
2008-07-01,647087.9597424942,32467.88452119133,25206.886564043576,126049.9502385251,22443.40230748471,88740.3908809236,10736.486875784163,46157.49928526468,22753.574892722158,26175.862082198328
2008-10-01,613490.821702641,29488.908802370475,25296.793436245334,116905.55073363578,20070.714151131466,80844.60985707233,10221.24692092562,44846.45793965125,22967.176418583964,26371.850670341897
2009-01-01,578553.0442424045,29780.83673697296,25105.02942530876,99731.97958782506,18881.38821273549,75107.37403942653,10481.74371107269,43713.04616133848,22527.86069429192,25977.33329547013
2009-04-01,631197.7518600689,58364.43414964226,24844.85566439568,110280.78143037832,18156.680501244813,78251.1508418703,10654.127549097871,46792.316487219,22729.531731986663,26102.56069870124
2009-07-01,610519.8546117273,28306.98656795985,24097.20102257492,115427.80331683878,19838.37412359538,81211.77029743663,10671.492628096265,45277.79854837691,22703.735501673065,27179.692763161616
2009-10-01,615220.8549372972,27522.75175121024,24792.42546096643,119600.37641755318,19386.763883419244,81947.77379624009,10015.629984902132,46158.11774465321,22632.9564413584,27498.237663656622
2010-01-01,611607.33658973,33044.93863242289,25046.17807557177,109908.23914134914,20235.022403340456,80935.42706041448,10563.941645668,46552.77816825278,22308.342547300897,27402.13395995034
2010-04-01,733730.7739689033,106261.14201319175,25543.209580437608,123636.5479318878,20775.17494805789,88742.9853460054,10448.30990927256,52135.27836858109,23017.897470612537,27571.90022303
