date,real_gdp,private_consumption,public_consumption,fixed_investment,exports,imports
2013-01-01,716924.9637681177,520508.755506946,86320.9258010186,145714.775427126,151328.259179628,185743.549441654
2013-04-01,721306.9837911418,515404.96887639,87454.5047124133,147686.574075786,155332.752781547,193959.84415372
2013-07-01,725233.0951662421,534827.186954,87939.9612336186,145974.335261622,151770.448135848,190672.64106644
2013-10-01,718163.378485759,531957.217816538,89949.759006501,144850.58717341,139358.491250221,190355.814460142
2014-01-01,707619.7292073028,518853.047847811,90846.8829945507,141725.033681186,136578.126181836,181781.122353937
2014-04-01,703285.4993257506,499764.114567355,89292.4240562874,139105.562810685,140845.672879512,170771.880027309
2014-07-01,697218.971951521,490876.267728555,90456.9085316918,133833.068552777,139946.921260086,162952.468571033
2014-10-01,701099.9833688877,501564.315524137,91425.5808368176,130094.923772756,138698.469168589,157894.400488031
2015-01-01,711402.4666248625,511438.853001403,94471.953371701,138221.02111647,132165.773172205,166701.185933482
2015-04-01,727785.3236090266,527459.698478867,97644.137970457,141531.68141912,139656.553362181,174246.392116322
2015-07-01,727484.4368269115,523314.035359867,97893.0686673299,142910.336176293,140551.321310212,183063.815728911
2015-10-01,719276.3594913569,522373.375346883,97158.6929019454,140957.842203661,128251.42659335,181114.492792525
2016-01-01,712727.3045714563,521079.432793347,96417.5235233672,134554.537866722,146439.038274407,185410.591787135
2016-04-01,701302.6539158025,512389.339652653,94408.1891015564,131384.415885457,140444.082556717,186787.458673722
2016-07-01,703800.6489578726,515874.972502071,96631.8811892973,131216.115967583,139044.786739699,183675.970577645
2016-10-01,708080.7869455159,518976.810203124,97680.0448730738,133897.152219297,143444.116626918,190319.546528012
2017-01-01,714073.9677273254,530048.280088267,98145.9339999562,139319.01118333,144126.143105941,199710.950442877
2017-04-01,722256.7177050391,535854.897420689,98410.7258640286,146864.870428159,144480.245062574,209643.799665191
2017-07-01,730990.5273198626,539150.846426051,99342.7187859786,154593.794390863,147946.695696726,219381.312416752
2017-10-01,738238.5782990694,549276.474949764,99394.8194209243,161332.381814632,147710.244430099,233742.785644307
2018-01-01,735391.8994718258,552357.821950156,97912.8953929194,161246.623224131,153773.667713329,231307.040558187
2018-04-01,702876.7013970676,539718.550507108,97148.9158764219,149616.461608917,134461.254351329,218390.954420176
2018-07-01,700556.410716433,523590.116722738,97038.8661461029,135946.867384259,138678.035274889,199308.722204257
2018-10-01,690684.7603327236,490283.647970839,95716.8894451222,120704.981334883,161124.690099077,174994.042691777
2019-01-01,691181.1710735294,494326.81967486,92962.1976568574,121347.194824285,157839.421932826,173593.953808524
2019-04-01,697844.863578142,505187.860514248,92526.1739854724,123704.119872484,156341.805915662,169518.812010083
2019-07-01,697203.3860621252,501035.248134802,89191.8607311872,121603.627194834,156264.351341053,171104.229546751
2019-10-01,686665.7936380407,476370.52480809,88316.5126694892,110332.549817497,174931.768619608,155718.4511955
2020-01-01,657389.3430752223,464558.342115004,92059.4600070303,100810.190919545,148359.807084436,152261.956399974
2020-04-01,562179.9956680281,391593.832159923,86894.4027283429,76373.9036514605,133699.040079079,116595.101839875
2020-07-01,623774.8170618869,426252.747716359,87771.3279193652,109940.621249767,128101.58743197,133296.773114333
2020-10-01,655020.9887964472,453897.31411659,88933.3124178716,127539.790896981,122677.877268707,152481.228134197
2021-01-01,677641.8510703032,463410.669276175,92143.7078803501,137722.817481867,135942.812537613,152450.415380387
2021-04-01,678936.363601146,466326.465259323,92773.588880361,135999.807435755,142973.614798637,159004.731904475
2021-07-01,693434.135089997,474838.747709432,96316.608738369,135111.331298632,151805.77642529,161909.624526258
2021-10-01,709227.3863743402,496088.099471232,99763.788228927,146885.017180601,147157.169240919,184203.085339443
2022-01-01,727024.011660094,508765.869721241,98613.7976563455,152772.236116865,145812.726810341,188871.194593995
2022-04-01,741845.2987376103,524136.54033872,98261.2260786443,159807.899360939,153014.129026414,199138.003932444
2022-07-01,735700.5844367996,525150.0516762,97275.045701461,153278.040678248,146941.964554957,198733.138865181
2022-10-01,720796.6400698295,522532.756390577,97388.5732456774,147951.078290656,158444.103921196,186135.424736051
2023-01-01,728927.3439939666,528201.49121654,101362.419432208,151268.452568349,132296.752037274,195769.331577681
2023-04-01,710090.3521494452,534191.838460077,102351.089982196,157011.6950252,133577.562717736,207631.8762999
2023-07-01,725224.9812771514,527143.30699433,100833.767290158,153530.783991647,138305.926533694,202405.986345827
2023-10-01,706980.2235287894,511586.299592056,95975.8815018693,136763.329833816,139212.354526002,184173.004416206
2024-01-01,694139.066257083,499677.802691274,96937.5704232024,118604.634052736,156756.379521902,167522.101375669
2024-04-01,691368.8366351299,490316.82248713,96730.2588073023,109531.237425681,163114.604683017,161802.270441844
2024-07-01,716468.5838151025,516205.000055719,96938.1550568095,126122.590481532,164072.643404854,177700.691674394
2024-10-01,729975.0515267386,534695.562096573,97780.009446037,139382.608424628,172300.494768887,200630.522932041
2025-01-01,734825.6656456526,544417.576019409,95332.7344715619,149955.24606356,170001.152362596,234185.896386957
2025-04-01,737286.3929167915,554100.016683131,98360.9981827436,147646.095444821,169007.816117164,226769.132235236
2025-07-01,739394.2773197384,556181.250548436,98217.6084579692,140505.645842663,180215.310260532,222346.144337202
2025-10-01,747408.51828521,561036.340113667,97937.9344834766,135566.303297074,190360.871493648,222559.715731505
2026-01-01,752422.5367911529,563779.476552006,96714.111934749,132497.498231784,186893.437974813,215715.997898437
2026-04-01,747969.9032567242,550314.989783296,94457.4192347368,131371.660908929,191638.733523877,208196.350521766
