series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
152.1_SICIOS_EST_2009_M_28,servicios_sociales_salud_est,Asalariados. Sector privado. Servicios sociales y de salud. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SICIOS_EST_2009_M_32,servicios_sociales_salud_sin_est,Asalariados. Sector privado. Servicios sociales y de salud. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SICIOS_EST_2009_M_46,servicios_comunitarios_sociales_personales_est,"Asalariados. Sector privado. Servicios comunitarios, sociales y personales. Con estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SICIOS_EST_2009_M_50,servicios_comunitarios_sociales_personales_sin_est,"Asalariados. Sector privado. Servicios comunitarios, sociales y personales. Sin estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SNISTROEST_2009_M_36,suministro_electricidad_gas_agua_est,"Asalariados. Sector privado. Suministro de electricidad, gas y agua. Con estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_SNISTROEST_2009_M_40,suministro_electricidad_gas_agua_sin_est,"Asalariados. Sector privado. Suministro de electricidad, gas y agua. Sin estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_TL_ESTEST_2009_M_9,total_est,Asalariados. Sector privado. Total. Con estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_TL_SIN_EST_2009_M_13,total_sin_est,Asalariados. Sector privado. Total. Sin estacionalidad.,R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_TSPORTEEST_2009_M_35,transporte_almacen_comunicacion_est,"Asalariados. Sector privado. Transporte, almacen y comunicación. Con estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
152.1_TSPORTEEST_2009_M_39,transporte_almacen_comunicacion_sin_est,"Asalariados. Sector privado. Transporte, almacen y comunicación. Sin estacionalidad.",R/P1M,2009-01-01,2026-05-01,Miles de Personas,"Asalariados registrados del sector privado, por rama de actividad de la ocupación principal.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
153.1_RNERACIANA_2009_M_20,asalariados_priv_remuneracion_mediana,Asalariados. Sector privado. Remuneracion mediana.,R/P1M,1995-01-01,2026-05-01,Pesos,Remuneración bruta de los asalariados registrados del sector privado,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
153.1_RNERACIDIO_2009_M_21,asalariados_priv_remuneracion_promedio,Asalariados. Sector privado. Remuneracion promedio.,R/P1M,1995-01-01,2026-05-01,Pesos,Remuneración bruta de los asalariados registrados del sector privado,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
